Using device: cuda:2
Object Category: Rico
Random Seed: 3124256514
Using dataset: datasets.RicoHierDataset
is_train: True #examples: 31470 #original: 31470 #permutes: 1
is_train: False #examples: 10490 #original: 10490 #permutes: 1
Starting training ...... 
training run rico_hier_exp_AE_sem_wt_1
     Time    Epoch     Dataset    Iteration     Progress(%)       LR       BoxLoss   LeafLoss     NodeExists      SemLoss    KLDivLoss     TotalLoss
 01:00:39     0/40     training    810/984         2.1%      1.00E-03        4.59        4.56       26.28       19.66       0.00      55.08
 01:02:57     0/40    validation   280/328         2.1%      1.00E-03        6.23        5.53       27.23       23.66       0.00      62.66
 01:03:00     0/40     training    840/984         2.1%      1.00E-03        5.99        5.92       34.05       25.73       0.00      71.69
 01:05:14     0/40    validation   290/328         2.2%      1.00E-03        6.11        5.90       30.48       24.77       0.00      67.25
 01:05:17     0/40     training    870/984         2.2%      1.00E-03        7.53        7.69       36.95       30.85       0.00      83.02
 01:07:34     0/40    validation   300/328         2.3%      1.00E-03        6.52        5.36       27.94       22.14       0.00      61.95
 01:07:37     0/40     training    900/984         2.3%      1.00E-03        5.66        5.55       28.51       21.96       0.00      61.68
 01:09:55     0/40    validation   310/328         2.4%      1.00E-03        7.36        6.11       30.57       23.51       0.00      67.55
 01:09:58     0/40     training    930/984         2.4%      1.00E-03        5.92        6.11       30.17       22.57       0.00      64.77
 01:12:28     0/40    validation   320/328         2.4%      1.00E-03        7.67        7.66       38.43       29.95       0.00      83.71
 01:12:31     0/40     training    960/984         2.4%      1.00E-03        5.22        5.78       32.62       24.93       0.00      68.55
training run rico_hier_exp_AE_sem_wt_1
     Time    Epoch     Dataset    Iteration     Progress(%)       LR       BoxLoss   LeafLoss     NodeExists      SemLoss    KLDivLoss     TotalLoss
 01:14:40     1/40     training      6/984         2.5%      1.00E-03        7.44        7.55       38.57       29.58       0.00      83.14
 01:14:49     1/40    validation     3/328         2.5%      1.00E-03        5.00        4.74       29.41       21.78       0.00      60.94
Saving checkpoint ...... 
